County,Year,Anomaly
Alameda,1895,-0.722
Alameda,1896,-0.222
Alameda,1897,-0.722
Alameda,1898,-0.333
Alameda,1899,-0.333
Alameda,1900,0.278
Alameda,1901,-0.222
Alameda,1902,-0.556
Alameda,1903,-0.611
Alameda,1904,-0.278
Alameda,1905,-0.444
Alameda,1906,0.056
Alameda,1907,-0.389
Alameda,1908,-0.778
Alameda,1909,-0.778
Alameda,1910,-0.667
Alameda,1911,-1.333
Alameda,1912,-0.611
Alameda,1913,-0.167
Alameda,1914,-0.167
Alameda,1915,-0.278
Alameda,1916,-1.056
Alameda,1917,-0.611
Alameda,1918,-0.389
Alameda,1919,-0.889
Alameda,1920,-0.667
Alameda,1921,-0.222
Alameda,1922,-1.056
Alameda,1923,-0.500
Alameda,1924,-0.278
Alameda,1925,-0.222
Alameda,1926,0.611
Alameda,1927,-0.278
Alameda,1928,-0.278
Alameda,1929,-0.333
Alameda,1930,-0.444
Alameda,1931,0.389
Alameda,1932,-0.278
Alameda,1933,-0.500
Alameda,1934,0.722
Alameda,1935,-0.722
Alameda,1936,0.556
Alameda,1937,-0.111
Alameda,1938,-0.278
Alameda,1939,0.278
Alameda,1940,0.611
Alameda,1941,0.333
Alameda,1942,-0.333
Alameda,1943,0.222
Alameda,1944,-0.278
Alameda,1945,-0.056
Alameda,1946,-0.611
Alameda,1947,-0.056
Alameda,1948,-0.944
Alameda,1949,-0.667
Alameda,1950,0.222
Alameda,1951,-0.278
Alameda,1952,-0.167
Alameda,1953,0.000
Alameda,1954,-0.222
Alameda,1955,-0.611
Alameda,1956,-0.278
Alameda,1957,0.278
Alameda,1958,1.000
Alameda,1959,1.000
Alameda,1960,0.278
Alameda,1961,0.111
Alameda,1962,-0.222
Alameda,1963,-0.278
Alameda,1964,-0.167
Alameda,1965,-0.333
Alameda,1966,0.278
Alameda,1967,0.111
Alameda,1968,0.167
Alameda,1969,0.167
Alameda,1970,0.444
Alameda,1971,-0.500
Alameda,1972,-0.056
Alameda,1973,0.167
Alameda,1974,0.000
Alameda,1975,-0.556
Alameda,1976,0.278
Alameda,1977,0.333
Alameda,1978,0.667
Alameda,1979,0.667
Alameda,1980,0.333
Alameda,1981,1.000
Alameda,1982,-0.333
Alameda,1983,0.722
Alameda,1984,0.778
Alameda,1985,0.111
Alameda,1986,0.889
Alameda,1987,0.778
Alameda,1988,0.889
Alameda,1989,0.222
Alameda,1990,0.444
Alameda,1991,0.333
Alameda,1992,1.278
Alameda,1993,0.611
Alameda,1994,-0.111
Alameda,1995,1.111
Alameda,1996,1.389
Alameda,1997,1.389
Alameda,1998,0.056
Alameda,1999,0.111
Alameda,2000,0.611
Alameda,2001,0.944
Alameda,2002,0.611
Alameda,2003,1.000
Alameda,2004,0.944
Alameda,2005,0.833
Alameda,2006,0.611
Alameda,2007,0.556
Alameda,2008,0.667
Alameda,2009,0.611
Alameda,2010,0.222
Alameda,2011,0.000
Alameda,2012,0.778
Alameda,2013,0.889
Alpine,1895,-0.778
Alpine,1896,-0.167
Alpine,1897,-0.778
Alpine,1898,-0.500
Alpine,1899,-0.556
Alpine,1900,-0.056
Alpine,1901,-0.167
Alpine,1902,-0.778
Alpine,1903,-1.000
Alpine,1904,-0.167
Alpine,1905,-0.389
Alpine,1906,-0.056
Alpine,1907,0.111
Alpine,1908,0.389
Alpine,1909,0.000
Alpine,1910,0.889
Alpine,1911,-0.667
Alpine,1912,-0.778
Alpine,1913,-0.167
Alpine,1914,0.111
Alpine,1915,-0.222
Alpine,1916,-0.722
Alpine,1917,0.056
Alpine,1918,0.278
Alpine,1919,0.111
Alpine,1920,-0.333
Alpine,1921,0.889
Alpine,1922,-0.278
Alpine,1923,-0.111
Alpine,1924,0.556
Alpine,1925,0.667
Alpine,1926,1.056
Alpine,1927,0.222
Alpine,1928,0.722
Alpine,1929,0.222
Alpine,1930,0.000
Alpine,1931,0.667
Alpine,1932,-0.333
Alpine,1933,0.000
Alpine,1934,1.889
Alpine,1935,-0.611
Alpine,1936,0.722
Alpine,1937,-0.056
Alpine,1938,-0.222
Alpine,1939,0.778
Alpine,1940,0.778
Alpine,1941,-0.056
Alpine,1942,-0.333
Alpine,1943,0.111
Alpine,1944,-0.833
Alpine,1945,-0.389
Alpine,1946,-0.333
Alpine,1947,-0.111
Alpine,1948,-1.333
Alpine,1949,-0.778
Alpine,1950,0.278
Alpine,1951,-0.056
Alpine,1952,-0.500
Alpine,1953,-0.111
Alpine,1954,0.389
Alpine,1955,-0.722
Alpine,1956,-0.389
Alpine,1957,-0.556
Alpine,1958,0.444
Alpine,1959,0.611
Alpine,1960,0.222
Alpine,1961,0.333
Alpine,1962,-0.111
Alpine,1963,-0.056
Alpine,1964,-0.500
Alpine,1965,-0.722
Alpine,1966,0.500
Alpine,1967,-0.278
Alpine,1968,0.111
Alpine,1969,-0.278
Alpine,1970,-0.056
Alpine,1971,-0.889
Alpine,1972,-0.111
Alpine,1973,-0.278
Alpine,1974,0.000
Alpine,1975,-0.833
Alpine,1976,-0.167
Alpine,1977,0.556
Alpine,1978,-0.389
Alpine,1979,-0.167
Alpine,1980,0.167
Alpine,1981,1.000
Alpine,1982,-1.111
Alpine,1983,-0.778
Alpine,1984,-0.167
Alpine,1985,-0.222
Alpine,1986,0.667
Alpine,1987,0.389
Alpine,1988,0.778
Alpine,1989,0.167
Alpine,1990,0.056
Alpine,1991,0.111
Alpine,1992,0.889
Alpine,1993,-0.444
Alpine,1994,0.222
Alpine,1995,0.389
Alpine,1996,0.667
Alpine,1997,0.333
Alpine,1998,-0.944
Alpine,1999,0.167
Alpine,2000,0.611
Alpine,2001,1.000
Alpine,2002,0.389
Alpine,2003,0.889
Alpine,2004,0.556
Alpine,2005,0.333
Alpine,2006,0.333
Alpine,2007,0.833
Alpine,2008,0.611
Alpine,2009,0.389
Alpine,2010,-0.222
Alpine,2011,-0.333
Alpine,2012,1.000
Alpine,2013,0.722
Amador,1895,-0.611
Amador,1896,-0.111
Amador,1897,-0.667
Amador,1898,-0.333
Amador,1899,-0.389
Amador,1900,0.000
Amador,1901,0.000
Amador,1902,-0.833
Amador,1903,-0.611
Amador,1904,-0.056
Amador,1905,-0.222
Amador,1906,0.222
Amador,1907,0.056
Amador,1908,0.278
Amador,1909,0.278
Amador,1910,0.611
Amador,1911,-0.389
Amador,1912,-0.167
Amador,1913,0.556
Amador,1914,0.500
Amador,1915,0.167
Amador,1916,-0.167
Amador,1917,0.500
Amador,1918,0.500
Amador,1919,0.278
Amador,1920,0.000
Amador,1921,0.611
Amador,1922,0.111
Amador,1923,0.278
Amador,1924,0.722
Amador,1925,0.611
Amador,1926,1.222
Amador,1927,0.056
Amador,1928,0.444
Amador,1929,0.167
Amador,1930,0.056
Amador,1931,0.889
Amador,1932,0.167
Amador,1933,0.000
Amador,1934,1.389
Amador,1935,-0.222
Amador,1936,1.000
Amador,1937,0.000
Amador,1938,0.000
Amador,1939,0.722
Amador,1940,0.778
Amador,1941,0.056
Amador,1942,-0.278
Amador,1943,0.278
Amador,1944,-0.389
Amador,1945,-0.167
Amador,1946,-0.500
Amador,1947,-0.056
Amador,1948,-1.278
Amador,1949,-0.611
Amador,1950,0.167
Amador,1951,-0.278
Amador,1952,-0.389
Amador,1953,-0.333
Amador,1954,-0.222
Amador,1955,-0.778
Amador,1956,-0.500
Amador,1957,-0.556
Amador,1958,0.722
Amador,1959,0.889
Amador,1960,0.333
Amador,1961,0.167
Amador,1962,-0.167
Amador,1963,-0.722
Amador,1964,-0.611
Amador,1965,-0.667
Amador,1966,0.333
Amador,1967,-0.222
Amador,1968,-0.056
Amador,1969,-0.278
Amador,1970,0.167
Amador,1971,-1.000
Amador,1972,-0.444
Amador,1973,-0.278
Amador,1974,-0.111
Amador,1975,-0.944
Amador,1976,0.000
Amador,1977,0.333
Amador,1978,-0.056
Amador,1979,-0.111
Amador,1980,-0.056
Amador,1981,0.611
Amador,1982,-1.278
Amador,1983,-0.556
Amador,1984,0.111
Amador,1985,-0.444
Amador,1986,0.444
Amador,1987,0.333
Amador,1988,0.611
Amador,1989,-0.278
Amador,1990,-0.111
Amador,1991,0.167
Amador,1992,0.667
Amador,1993,-0.333
Amador,1994,-0.278
Amador,1995,0.167
Amador,1996,0.556
Amador,1997,0.556
Amador,1998,-1.111
Amador,1999,-0.111
Amador,2000,0.167
Amador,2001,0.722
Amador,2002,0.389
Amador,2003,0.667
Amador,2004,0.556
Amador,2005,0.444
Amador,2006,0.278
Amador,2007,0.500
Amador,2008,0.667
Amador,2009,0.556
Amador,2010,-0.333
Amador,2011,-0.611
Amador,2012,0.722
Amador,2013,1.056
Butte,1895,0.056
Butte,1896,0.500
Butte,1897,0.000
Butte,1898,-0.056
Butte,1899,-0.333
Butte,1900,0.444
Butte,1901,0.333
Butte,1902,-0.333
Butte,1903,-0.278
Butte,1904,0.111
Butte,1905,-0.111
Butte,1906,-0.167
Butte,1907,-0.389
Butte,1908,-0.333
Butte,1909,-0.278
Butte,1910,0.278
Butte,1911,-0.944
Butte,1912,-0.944
Butte,1913,-0.222
Butte,1914,0.167
Butte,1915,0.167
Butte,1916,-0.556
Butte,1917,0.056
Butte,1918,-0.111
Butte,1919,-0.389
Butte,1920,-0.556
Butte,1921,-0.111
Butte,1922,-0.722
Butte,1923,-0.333
Butte,1924,-0.056
Butte,1925,-0.056
Butte,1926,1.056
Butte,1927,-0.167
Butte,1928,0.278
Butte,1929,-0.111
Butte,1930,0.000
Butte,1931,0.722
Butte,1932,0.111
Butte,1933,-0.056
Butte,1934,1.278
Butte,1935,-0.222
Butte,1936,0.833
Butte,1937,-0.167
Butte,1938,0.056
Butte,1939,0.889
Butte,1940,0.667
Butte,1941,-0.111
Butte,1942,-0.444
Butte,1943,0.167
Butte,1944,-0.222
Butte,1945,0.000
Butte,1946,-0.667
Butte,1947,-0.056
Butte,1948,-1.333
Butte,1949,-0.611
Butte,1950,0.111
Butte,1951,-0.167
Butte,1952,-0.333
Butte,1953,-0.222
Butte,1954,-0.444
Butte,1955,-0.667
Butte,1956,-0.333
Butte,1957,-0.444
Butte,1958,0.889
Butte,1959,1.000
Butte,1960,0.333
Butte,1961,0.056
Butte,1962,-0.056
Butte,1963,-0.611
Butte,1964,-0.333
Butte,1965,-0.500
Butte,1966,0.333
Butte,1967,0.000
Butte,1968,-0.111
Butte,1969,-0.111
Butte,1970,0.333
Butte,1971,-0.722
Butte,1972,-0.333
Butte,1973,0.000
Butte,1974,0.056
Butte,1975,-0.667
Butte,1976,0.278
Butte,1977,0.389
Butte,1978,0.167
Butte,1979,0.056
Butte,1980,0.167
Butte,1981,0.778
Butte,1982,-0.944
Butte,1983,-0.278
Butte,1984,0.444
Butte,1985,-0.111
Butte,1986,0.667
Butte,1987,0.667
Butte,1988,0.889
Butte,1989,0.000
Butte,1990,0.167
Butte,1991,0.389
Butte,1992,1.000
Butte,1993,-0.111
Butte,1994,-0.056
Butte,1995,0.444
Butte,1996,0.833
Butte,1997,0.833
Butte,1998,-0.667
Butte,1999,0.000
Butte,2000,0.222
Butte,2001,0.889
Butte,2002,0.667
Butte,2003,0.722
Butte,2004,0.778
Butte,2005,0.389
Butte,2006,0.444
Butte,2007,0.611
Butte,2008,0.667
Butte,2009,0.611
Butte,2010,-0.111
Butte,2011,-0.333
Butte,2012,0.556
Butte,2013,0.889
Calaveras,1895,-0.778
Calaveras,1896,-0.222
Calaveras,1897,-0.833
Calaveras,1898,-0.389
Calaveras,1899,-0.389
Calaveras,1900,-0.056
Calaveras,1901,-0.111
Calaveras,1902,-0.944
Calaveras,1903,-0.667
Calaveras,1904,0.000
Calaveras,1905,-0.167
Calaveras,1906,0.333
Calaveras,1907,0.111
Calaveras,1908,0.278
Calaveras,1909,0.222
Calaveras,1910,0.611
Calaveras,1911,-0.333
Calaveras,1912,-0.167
Calaveras,1913,0.444
Calaveras,1914,0.444
Calaveras,1915,0.056
Calaveras,1916,-0.278
Calaveras,1917,0.389
Calaveras,1918,0.333
Calaveras,1919,0.222
Calaveras,1920,-0.222
Calaveras,1921,0.500
Calaveras,1922,0.111
Calaveras,1923,0.278
Calaveras,1924,0.667
Calaveras,1925,0.389
Calaveras,1926,1.278
Calaveras,1927,0.111
Calaveras,1928,0.389
Calaveras,1929,0.167
Calaveras,1930,0.000
Calaveras,1931,0.833
Calaveras,1932,0.111
Calaveras,1933,-0.056
Calaveras,1934,1.278
Calaveras,1935,-0.111
Calaveras,1936,0.889
Calaveras,1937,0.000
Calaveras,1938,-0.056
Calaveras,1939,0.722
Calaveras,1940,0.833
Calaveras,1941,0.056
Calaveras,1942,-0.278
Calaveras,1943,0.278
Calaveras,1944,-0.444
Calaveras,1945,-0.278
Calaveras,1946,-0.611
Calaveras,1947,-0.056
Calaveras,1948,-1.222
Calaveras,1949,-0.556
Calaveras,1950,0.222
Calaveras,1951,-0.222
Calaveras,1952,-0.333
Calaveras,1953,-0.333
Calaveras,1954,-0.278
Calaveras,1955,-0.778
Calaveras,1956,-0.500
Calaveras,1957,-0.444
Calaveras,1958,0.722
Calaveras,1959,0.889
Calaveras,1960,0.333
Calaveras,1961,0.056
Calaveras,1962,-0.167
Calaveras,1963,-0.722
Calaveras,1964,-0.611
Calaveras,1965,-0.611
Calaveras,1966,0.278
Calaveras,1967,-0.167
Calaveras,1968,-0.056
Calaveras,1969,-0.222
Calaveras,1970,0.222
Calaveras,1971,-1.000
Calaveras,1972,-0.389
Calaveras,1973,-0.167
Calaveras,1974,0.000
Calaveras,1975,-0.889
Calaveras,1976,0.000
Calaveras,1977,0.444
Calaveras,1978,0.000
Calaveras,1979,-0.056
Calaveras,1980,0.000
Calaveras,1981,0.667
Calaveras,1982,-1.167
Calaveras,1983,-0.444
Calaveras,1984,0.222
